Var Plan,Sales Region,Period,IT Area,IT Sub Area,Country/Region
938078.889,Europe,12,Infrastructure,Productivity,Spain
798012.3029999998,Europe,11,Infrastructure,Productivity,Spain
744122.3280000001,Europe,12,Infrastructure,Networking,Ireland
741835.1159999999,Europe,10,Infrastructure,Productivity,Spain
670309.83,Europe,11,Infrastructure,Networking,Ireland
650642.589,Europe,12,Governance,Administration,United Kingdom
648433.1039999999,Europe,9,Infrastructure,Productivity,Spain
609374.709,Europe,10,Infrastructure,Networking,Ireland
605649.7499999999,Europe,8,Infrastructure,Productivity,Spain
599519.9159999999,Europe,7,Infrastructure,Productivity,Spain
597551.1780000001,Europe,12,Infrastructure,Help Desk,United Kingdom
597215.412,Europe,11,Governance,Administration,United Kingdom
573211.4639999996,Europe,12,Functional,R3,United Kingdom
556325.2589999995,Europe,12,Infrastructure,Productivity,Germany
548132.106,Europe,11,Infrastructure,Help Desk,United Kingdom
547809.495,Europe,10,Infrastructure,Help Desk,United Kingdom
543990.5819999999,Europe,9,Infrastructure,Networking,Ireland
543633.789,Europe,10,Governance,Administration,United Kingdom
535870.4819999995,Europe,11,Functional,R3,United Kingdom
501736.38,Europe,9,Governance,Administration,United Kingdom
490408.218,Europe,7,Infrastructure,Help Desk,United Kingdom
486291.8909999997,Europe,10,Functional,R3,United Kingdom
479490.582,Europe,8,Infrastructure,Networking,Ireland
476133.88199999975,Europe,9,Functional,R3,United Kingdom
471805.0079999999,Europe,6,Infrastructure,Productivity,Spain
467957.61,Europe,9,Infrastructure,Help Desk,United Kingdom
446875.191,Europe,8,Governance,Administration,United Kingdom
440376.705,Europe,11,Infrastructure,Productivity,Germany
414990.582,Europe,7,Infrastructure,Networking,Ireland
407491.56000000006,Europe,8,Infrastructure,Help Desk,United Kingdom
400971.4049999999,Europe,8,Functional,R3,United Kingdom
394041.82200000016,Europe,12,Infrastructure,Productivity,United Kingdom
393837.72,Europe,7,Governance,Administration,United Kingdom
390714.723,Europe,10,Infrastructure,Productivity,Germany
383395.629,Europe,9,Infrastructure,Productivity,Germany
358529.079,Europe,6,Infrastructure,Networking,Ireland
354498.7469999999,Europe,7,Functional,R3,United Kingdom
347880.74999999977,Europe,8,Infrastructure,Productivity,Germany
342997.6919999999,Europe,12,Enablement,Mobility,United Kingdom
342195.216,Europe,6,Functional,R3,United Kingdom
339598.356,Europe,6,Infrastructure,Help Desk,United Kingdom
338323.308,Europe,6,Governance,Administration,United Kingdom
328628.874,Europe,5,Functional,R3,United Kingdom
323064.606,Europe,11,Enablement,Mobility,United Kingdom
308220.585,Europe,10,Enablement,Mobility,United Kingdom
290402.79299999995,Europe,12,Infrastructure,Networking,Switzerland
283095.123,Europe,9,Enablement,Mobility,United Kingdom
282849.633,Europe,5,Governance,Administration,United Kingdom
282805.203,Europe,7,Infrastructure,Productivity,Germany
269004.89699999994,Europe,4,Functional,R3,United Kingdom
268233.62999999995,Europe,8,Enablement,Mobility,United Kingdom
259254.3029999999,Europe,6,Infrastructure,Productivity,Germany
254028.666,Europe,11,Infrastructure,Networking,Switzerland
252485.65199999989,Europe,12,Governance,GRC,Germany
251392.977,Europe,7,Enablement,Mobility,United Kingdom
247177.4879999999,Europe,11,Infrastructure,Productivity,United Kingdom
241944.909,Europe,3,Functional,R3,United Kingdom
239894.178,Europe,11,Governance,GRC,Germany
233708.493,Europe,10,Infrastructure,Productivity,United Kingdom
230571.339,Europe,4,Infrastructure,Networking,Ireland
230571.339,Europe,5,Infrastructure,Networking,Ireland
230400.081,Europe,5,Infrastructure,Productivity,Spain
230056.00499999995,Europe,4,Infrastructure,Productivity,United Kingdom
226260.55500000063,Europe,12,BU Support,Manufacturing,France
225496.026,Europe,10,Infrastructure,Networking,Switzerland
224127.366,Europe,4,Governance,Administration,United Kingdom
222064.632,Europe,5,Infrastructure,Help Desk,United Kingdom
220100.889,Europe,6,Enablement,Mobility,United Kingdom
218214.77700000003,Europe,9,Infrastructure,Networking,Switzerland
213241.63799999995,Europe,12,BU Support,Planning,United Kingdom
212928.102,Europe,5,Enablement,Mobility,United Kingdom
211078.056,Europe,10,Governance,GRC,Germany
195449.007,Europe,9,Governance,GRC,Germany
188888.67299999984,Europe,8,Governance,GRC,Germany
188733.582,Europe,7,Governance,GRC,Germany
184387.188,Europe,11,BU Support,Planning,United Kingdom
177843.01799999998,Europe,4,Enablement,Mobility,United Kingdom
174841.284,Europe,8,Infrastructure,Networking,Switzerland
173479.545,Europe,3,Infrastructure,Networking,Ireland
170148.11999999994,Europe,6,Governance,GRC,Germany
168443.235,Europe,3,Governance,Administration,United Kingdom
162247.34099999967,Europe,9,Infrastructure,Productivity,United Kingdom
161724.83999999962,Europe,12,Functional,R1,Belgium
161660.76599999983,Europe,9,BU Support,Manufacturing,France
161037.61499999996,Europe,12,Infrastructure,Core Infrastructure,Switzerland
157460.2679999999,Europe,3,Infrastructure,Productivity,United Kingdom
157168.953,Europe,7,Infrastructure,Networking,Switzerland
156397.25699999993,Europe,10,BU Support,Planning,United Kingdom
156054.201,Europe,3,Enablement,Mobility,United Kingdom
153700.30500000008,Europe,12,BU Support,Distribution,Germany
137268.7410000004,Europe,10,BU Support,Manufacturing,France
135228.94199999998,Europe,11,BU Support,Distribution,Germany
134976.04799999995,Europe,4,Infrastructure,Productivity,Spain
129738.05699999996,Europe,9,BU Support,Planning,United Kingdom
127994.427,Europe,6,Infrastructure,Networking,Switzerland
122517.66,Europe,2,Infrastructure,Networking,Ireland
121676.415,Europe,2,Enablement,Data Management,Germany
117776.865,Europe,11,Functional,R1,Belgium
117673.584,Europe,10,BU Support,Distribution,Germany
116252.745,Europe,2,Enablement,Mobility,United Kingdom
112822.755,Europe,2,Governance,Administration,United Kingdom
112490.71799999996,Europe,8,BU Support,Planning,United Kingdom
111698.442,Europe,3,Infrastructure,Productivity,Spain
111413.72100000002,Europe,5,Governance,GRC,Germany
111170.439,Europe,12,Infrastructure,Hosting,United Kingdom
110402.943,Europe,12,BU Support,Distribution,Belgium
106662.537,Europe,12,BU Support,Manufacturing,Spain
106594.24800000014,Europe,11,BU Support,Manufacturing,France
106440.798,Europe,12,BU Support,Distribution,Italy
106419.099,Europe,11,BU Support,Manufacturing,Spain
104669.91599999992,Europe,5,Infrastructure,Productivity,Germany
103958.703,Europe,4,Infrastructure,Help Desk,United Kingdom
102822.474,Europe,11,Infrastructure,Hosting,United Kingdom
102713.29199999978,Europe,8,Infrastructure,Productivity,United Kingdom
102599.73599999998,Europe,9,BU Support,Distribution,Germany
99694.33799999996,Europe,7,BU Support,Planning,United Kingdom
99059.829,Europe,3,Infrastructure,Help Desk,Ireland
98177.394,Europe,12,Functional,R1,United Kingdom
95780.703,Europe,5,Infrastructure,Networking,Switzerland
94898.08800000002,Europe,10,Infrastructure,Hosting,United Kingdom
93959.739,Europe,12,BU Support,Distribution,Switzerland
93862.971,Europe,1,Enablement,Data Management,Germany
92030.38199999998,Europe,11,BU Support,Distribution,Italy
91532.87099999996,Europe,10,BU Support,Manufacturing,Spain
88929.603,Europe,3,Governance,GRC,Germany
87508.896,Europe,5,Enablement,Data Management,Germany
86309.09700000001,Europe,8,BU Support,Distribution,Germany
85499.58299999997,Europe,12,BU Support,Distribution,United Kingdom
